symbol,close_time,open_time,weighted_pnl,exit_reason,cum_wpnl_at_close,dd_30d_at_close,brake_state_before,brake_state_after,brake_fired,brake_off_reason
TRXUSDT,1710115199999,1709683199999,-1.1347,stop_loss,-7.461899999999998,6.5028,False,False,False,
TRXUSDT,1710489599999,1710431999999,-0.5413,stop_loss,-8.003199999999998,6.320799999999999,False,False,False,
TRXUSDT,1711151999999,1711123199999,-2.4921,stop_loss,-10.495299999999999,7.4225,False,True,False,
TRXUSDT,1711900800000,1711295999999,3.112,timeout,-10.495299999999999,7.4225,True,True,True,
BCHUSDT,1712303999999,1712246399999,11.8429,take_profit,47.482299999999995,0.0,False,False,False,
BCHUSDT,1712764799999,1712591999999,9.531,take_profit,57.013299999999994,0.0,False,False,False,
BCHUSDT,1712966399999,1712908799999,7.7088,take_profit,64.7221,0.0,False,False,False,
TRXUSDT,1713052799999,1712995199999,-1.7282,stop_loss,-12.223499999999998,5.8963,False,False,False,
BCHUSDT,1713196799999,1713167999999,-6.8419,stop_loss,57.880199999999995,6.8419000000000025,False,False,False,
BCHUSDT,1714003200000,1713398399999,2.7333,timeout,60.613499999999995,4.108600000000003,False,False,False,
TRXUSDT,1714636799999,1714406399999,1.9912,take_profit,-10.232299999999999,0.0,False,False,False,
TRXUSDT,1715500799999,1715385599999,-0.2815,no_confirm,-10.513799999999998,0.2814999999999994,False,False,False,
BCHUSDT,1717113600000,1716508799999,1.8177,timeout,62.4312,0.0,False,False,False,
BCHUSDT,1718294399999,1718236799999,-1.0809,stop_loss,61.3503,1.0808999999999997,False,False,False,
BCHUSDT,1718726399999,1718697599999,-2.0566,stop_loss,59.293699999999994,3.137500000000003,False,False,False,
BCHUSDT,1718985599999,1718870399999,-1.5619,stop_loss,57.73179999999999,4.699400000000004,False,False,False,
BCHUSDT,1719302399999,1719244799999,2.8964,take_profit,60.62819999999999,1.8030000000000044,False,False,False,
BCHUSDT,1719590399999,1719446399999,3.5099,take_profit,64.1381,0.0,False,False,False,
TRXUSDT,1720195199999,1720166399999,0.0,take_profit,-10.513799999999998,0.0,False,False,False,
TRXUSDT,1720367999999,1720339199999,-1.4204,stop_loss,-11.934199999999999,1.4204000000000008,False,False,False,
TRXUSDT,1720684799999,1720511999999,2.9803,take_profit,-8.953899999999999,0.0,False,False,False,
BCHUSDT,1721750400000,1721145599999,3.3689,timeout,67.50699999999999,0.0,False,False,False,
TRXUSDT,1722211199999,1722095999999,0.0,stop_loss,-8.953899999999999,0.0,False,False,False,
