name,events,trades_per_month,win_rate,per_trade_sharpe,net_sum_pct,mean_pnl_pct,top2_share_pos,top2_share_gross,n_hold
A4.mrz20_k2.5_N3,144,2.3098889476467477,0.5069444444444444,-0.731617583186601,-89.21171706325991,-0.619525812939305,0.20039683865530794,0.08768835387030846,3
A2.bbpctb_0.1_0.9_N3,523,8.382000704473406,0.4722753346080306,-0.7527639455304832,-179.38598777353795,-0.34299424048477617,0.07317519090654462,0.03358688941127221,3
A4.mrz10_k2.5_N3,69,1.1198501872659177,0.43478260869565216,-0.7623708218266793,-61.86601009142774,-0.8966088419047499,0.22574459411779768,0.1093558655292134,3
C.fz90_k2.0_N6,173,2.813762287756926,0.4508670520231214,-0.7680168082642223,-131.80968315960862,-0.7619056830035181,0.11584974458021315,0.061975732180316816,6
A2.bbpctb_0.05_0.95_N3,409,6.559569968276349,0.4792176039119804,-0.7680876063536957,-165.70315240697397,-0.40514218192414175,0.07780349402662573,0.04489650434250632,3
A2.bbpctb_0.05_0.95_N6,315,5.051991540359535,0.4793650793650794,-0.7771505087064103,-181.4396841795791,-0.5759989973954892,0.062175789683213356,0.03318504106642566,6
A4.mrz10_k2.5_N6,69,1.1198501872659177,0.43478260869565216,-0.7796124741546383,-81.55073733943861,-1.1818947440498349,0.18545318369248626,0.08802069288124248,6
A1.cumretZ_w10_k1.5_N6,209,3.4548592188919165,0.40669856459330145,-0.787094126484499,-174.97217855576642,-0.837187457204624,0.10094145888792512,0.059456290031539835,6
A1.cumretZ_w10_k2.5_N9,44,0.7357589121646454,0.3409090909090909,-0.7928609378323875,-111.55129845980014,-2.535256783177276,0.3671566848693797,0.19629984963478472,9
A4.mrz10_k2.5_N9,68,1.1036204744069913,0.47058823529411764,-0.7973314954878935,-120.01345723583401,-1.764903782879912,0.1943980291871857,0.12991279146677895,9
A3.rsi_30_70_N3,280,4.506544039617969,0.5107142857142857,-0.8192934366701881,-156.62716089695954,-0.5593827174891413,0.09861704796459611,0.05413116147686638,3
A1.cumretZ_w5_k2.0_N9,117,1.941820171438993,0.37606837606837606,-0.822126388158892,-176.8793554706829,-1.5117893629972896,0.17351145356164355,0.07135602785756344,9
C.fz90_k1.5_N9,210,3.3985417037168775,0.4714285714285714,-0.8229615004427374,-193.88246640967174,-0.9232498400460559,0.09717133687505498,0.0446679863768459,9
A1.cumretZ_w5_k2.5_N9,64,1.0621922305307312,0.359375,-0.8242576163864048,-140.48655363134054,-2.195102400489696,0.2887209785433769,0.12140799206934648,9
A3.rsi_25_75_N9,80,1.28758401131942,0.4,-0.8378789854192988,-142.46938519068857,-1.7808673148836072,0.22240679569927688,0.0916232812249833,9
A3.rsi_30_70_N6,198,3.1867704280155644,0.4444444444444444,-0.8548984131309886,-185.361219490812,-0.9361677752061213,0.09879787360083701,0.059983280094691394,6
A1.cumretZ_w5_k2.0_N3,163,2.7052708371329564,0.4294478527607362,-0.8718291706136205,-132.5263273408269,-0.8130449530112079,0.16278780652196462,0.07335966860903853,3
A2.bbpctb_0.1_0.9_N9,319,5.112539626629095,0.47648902821316613,-0.872642699759579,-281.23905375920924,-0.8816271277718158,0.0824235667008276,0.04476326741930351,9
A1.cumretZ_w3_k2.0_N6,147,2.42732716385411,0.42857142857142855,-0.8790478592675414,-145.40831151285533,-0.9891721871622812,0.10439590765022799,0.0529404598818744,6
A3.rsi_20_80_N9,42,0.7172077312816664,0.2619047619047619,-0.886602316393015,-117.00798981736264,-2.7859045194610155,0.38501637579619147,0.13958261964974758,9
A4.mrz10_k2.0_N6,297,4.744908707865169,0.47474747474747475,-0.886710641124187,-201.4740215436131,-0.6783637089010541,0.06102277116577854,0.04472611201917445,6
A1.cumretZ_w5_k2.0_N6,127,2.10778770745942,0.3937007874015748,-0.907918125543615,-129.63225410932827,-1.0207264103096714,0.14865000984748417,0.07065082963350604,6
