symbol,open_time,close_time,net_weighted,net_raw,weight,month,regime
AAVEUSDT,1752566399999,1752623999999,-5.832400,-5.832400,1.0000,2025-07,BTC_UP
XRPUSDT,1752566399999,1752767999999,12.148900,12.148900,1.0000,2025-07,BTC_UP
AAVEUSDT,1752710399999,1753315199999,11.506300,11.506300,1.0000,2025-07,BTC_UP
XRPUSDT,1753171199999,1753286399999,-5.815500,-5.815500,1.0000,2025-07,BTC_FLAT
BTCUSDT,1753228799999,1753286399999,-2.370100,-2.370100,1.0000,2025-07,BTC_FLAT
ETHUSDT,1753257599999,1753343999999,-4.544700,-4.544700,1.0000,2025-07,BTC_FLAT
BTCUSDT,1753372799999,1753430399999,-2.329300,-2.329300,1.0000,2025-07,BTC_FLAT
AAVEUSDT,1753401599999,1753919999999,-6.661500,-6.661500,1.0000,2025-07,BTC_FLAT
ETHUSDT,1753430399999,1754035200000,0.395200,0.395200,1.0000,2025-08,BTC_FLAT
DOTUSDT,1753459199999,1753689599999,-8.951400,-8.951400,1.0000,2025-07,BTC_FLAT
BTCUSDT,1753516799999,1754035199999,-2.391700,-2.391700,1.0000,2025-08,BTC_FLAT
XRPUSDT,1753545599999,1754035199999,-6.477700,-6.477700,1.0000,2025-08,BTC_FLAT
DOTUSDT,1753833599999,1754438400000,7.152700,7.152700,1.0000,2025-08,BTC_FLAT
BTCUSDT,1754121599999,1754582399999,-2.247400,-2.247400,1.0000,2025-08,BTC_DOWN
XRPUSDT,1754121599999,1754611199999,-5.657000,-5.657000,1.0000,2025-08,BTC_DOWN
ETHUSDT,1754150399999,1754582399999,9.223000,9.223000,1.0000,2025-08,BTC_FLAT
AAVEUSDT,1754207999999,1754611199999,10.914600,10.914600,1.0000,2025-08,BTC_DOWN
DOTUSDT,1754524799999,1754726399999,10.608600,10.608600,1.0000,2025-08,BTC_FLAT
ETHUSDT,1754668799999,1754726399999,-4.042800,-4.042800,1.0000,2025-08,BTC_FLAT
BTCUSDT,1754668799999,1754899199999,3.607100,3.607100,1.0000,2025-08,BTC_FLAT
AAVEUSDT,1754697599999,1755043199999,8.831000,8.831000,1.0000,2025-08,BTC_FLAT
XRPUSDT,1754726399999,1754841599999,-5.030700,-5.030700,1.0000,2025-08,BTC_FLAT
DOTUSDT,1754812799999,1755043199999,-5.298900,-5.298900,1.0000,2025-08,BTC_FLAT
XRPUSDT,1754927999999,1755532800000,5.930000,5.930000,1.0000,2025-08,BTC_UP
ETHUSDT,1754956799999,1755014399999,-4.373300,-4.373300,1.0000,2025-08,BTC_FLAT
BTCUSDT,1754985599999,1755100799999,-2.150800,-2.150800,1.0000,2025-08,BTC_FLAT
DOTUSDT,1755129599999,1755590399999,11.338600,11.338600,1.0000,2025-08,BTC_UP
AAVEUSDT,1755187199999,1755647999999,11.760300,11.760300,1.0000,2025-08,BTC_UP
BTCUSDT,1755215999999,1755820799999,5.122800,5.122800,1.0000,2025-08,BTC_FLAT
ETHUSDT,1755359999999,1755878399999,-4.835600,-4.835600,1.0000,2025-08,BTC_FLAT
XRPUSDT,1755619199999,1755907199999,-4.659400,-4.659400,1.0000,2025-08,BTC_FLAT
DOTUSDT,1755676799999,1755907199999,-6.381800,-6.381800,1.0000,2025-08,BTC_FLAT
AAVEUSDT,1755734399999,1755907199999,10.466500,10.466500,1.0000,2025-08,BTC_FLAT
BTCUSDT,1755907199999,1756079999999,4.414700,4.414700,1.0000,2025-08,BTC_FLAT
XRPUSDT,1755993599999,1756511999999,8.566300,8.566300,1.0000,2025-08,BTC_DOWN
DOTUSDT,1756022399999,1756166399999,-6.128100,-6.128100,1.0000,2025-08,BTC_DOWN
AAVEUSDT,1756166399999,1756771200000,4.194000,4.194000,1.0000,2025-09,BTC_FLAT
BTCUSDT,1756195199999,1756540799999,-2.735800,-2.735800,1.0000,2025-08,BTC_DOWN
DOTUSDT,1756252799999,1756771199999,-6.578400,-6.578400,1.0000,2025-09,BTC_DOWN
ETHUSDT,1756252799999,1756857600000,5.856500,5.856500,1.0000,2025-09,BTC_DOWN
BTCUSDT,1756627199999,1757232000000,1.790300,1.790300,1.0000,2025-09,BTC_FLAT
XRPUSDT,1756684799999,1757289600000,3.558300,3.558300,1.0000,2025-09,BTC_FLAT
AAVEUSDT,1756857599999,1757087999999,-4.949500,-4.949500,1.0000,2025-09,BTC_FLAT
ETHUSDT,1756943999999,1757548800000,2.156900,2.156900,1.0000,2025-09,BTC_FLAT
AAVEUSDT,1757174399999,1757779200000,5.092800,5.092800,1.0000,2025-09,BTC_FLAT
BTCUSDT,1757375999999,1757519999999,-1.810400,-1.810400,1.0000,2025-09,BTC_FLAT
XRPUSDT,1757462399999,1757721599999,5.897700,5.897700,1.0000,2025-09,BTC_FLAT
DOTUSDT,1757606399999,1757750399999,-4.430100,-4.430100,1.0000,2025-09,BTC_FLAT
BTCUSDT,1757606399999,1758211200000,2.886200,2.886200,1.0000,2025-09,BTC_FLAT
ETHUSDT,1757635199999,1757721599999,-3.222900,-3.222900,1.0000,2025-09,BTC_FLAT
ETHUSDT,1757807999999,1758412800000,3.897700,3.897700,1.0000,2025-09,BTC_FLAT
XRPUSDT,1757807999999,1757865599999,-2.966400,-2.966400,1.0000,2025-09,BTC_FLAT
DOTUSDT,1757836799999,1758268799999,-4.839700,-4.839700,1.0000,2025-09,BTC_FLAT
AAVEUSDT,1757865599999,1758038399999,-3.920300,-3.920300,1.0000,2025-09,BTC_FLAT
XRPUSDT,1757951999999,1758527999999,-3.106800,-3.106800,1.0000,2025-09,BTC_FLAT
AAVEUSDT,1758124799999,1758527999999,-3.908800,-3.908800,1.0000,2025-09,BTC_UP
BTCUSDT,1758297599999,1758527999999,-1.787900,-1.787900,1.0000,2025-09,BTC_FLAT
DOTUSDT,1758441599999,1758527999999,-5.537400,-5.537400,1.0000,2025-09,BTC_FLAT
ETHUSDT,1758499199999,1758527999999,4.548700,4.548700,1.0000,2025-09,BTC_FLAT
ETHUSDT,1758614399999,1758787199999,-3.632700,-3.632700,1.0000,2025-09,BTC_FLAT
BTCUSDT,1758614399999,1758844799999,3.117100,3.117100,1.0000,2025-09,BTC_FLAT
XRPUSDT,1758614399999,1758758399999,-3.804700,-3.804700,1.0000,2025-09,BTC_FLAT
AAVEUSDT,1758643199999,1758815999999,-5.527600,-5.527600,1.0000,2025-09,BTC_FLAT
XRPUSDT,1758844799999,1759391999999,8.370900,8.370900,1.0000,2025-10,BTC_FLAT
AAVEUSDT,1758902399999,1759449599999,10.787600,10.787600,1.0000,2025-10,BTC_DOWN
ETHUSDT,1758931199999,1759391999999,8.103900,8.103900,1.0000,2025-10,BTC_DOWN
BTCUSDT,1758931199999,1759103999999,-1.999500,-1.999500,1.0000,2025-09,BTC_DOWN
BTCUSDT,1759190399999,1759334399999,-1.695800,-1.695800,1.0000,2025-10,BTC_FLAT
DOTUSDT,1759363199999,1759968000000,1.622500,1.622500,1.0000,2025-10,BTC_FLAT
BTCUSDT,1759420799999,1759651199999,3.466800,3.466800,1.0000,2025-10,BTC_UP
ETHUSDT,1759478399999,1759651199999,-3.314700,-3.314700,1.0000,2025-10,BTC_UP
XRPUSDT,1759478399999,1759593599999,-3.085400,-3.085400,1.0000,2025-10,BTC_UP
AAVEUSDT,1759535999999,1759852799999,-4.453200,-4.453200,1.0000,2025-10,BTC_UP
XRPUSDT,1759679999999,1759852799999,-3.386300,-3.386300,1.0000,2025-10,BTC_UP
ETHUSDT,1759737599999,1759766399999,-3.145300,-3.145300,1.0000,2025-10,BTC_UP
BTCUSDT,1759737599999,1759795199999,-2.089200,-2.089200,1.0000,2025-10,BTC_UP
ETHUSDT,1759881599999,1760111999999,7.208700,7.208700,1.0000,2025-10,BTC_UP
BTCUSDT,1759881599999,1760111999999,-2.372600,-2.372600,1.0000,2025-10,BTC_UP
AAVEUSDT,1759939199999,1760140799999,8.441400,8.441400,1.0000,2025-10,BTC_UP
XRPUSDT,1759939199999,1760054399999,-3.333800,-3.333800,1.0000,2025-10,BTC_UP
DOTUSDT,1760054399999,1760140799999,-5.772500,-5.772500,1.0000,2025-10,BTC_UP
BTCUSDT,1760428799999,1760659199999,-3.882200,-3.882200,1.0000,2025-10,BTC_DOWN
XRPUSDT,1760486399999,1760659199999,-8.569100,-8.569100,1.0000,2025-10,BTC_DOWN
DOTUSDT,1760572799999,1761177600000,6.824100,6.824100,1.0000,2025-10,BTC_DOWN
ETHUSDT,1760745599999,1760947199999,-6.151300,-6.151300,1.0000,2025-10,BTC_DOWN
