,hurst_100,hurst_200,hurst_diff_100_50,atr_pct_rank_200,atr_pct_rank_500,bb_width_pct_rank_100,cusum_reset_count_200,ret_skew_50,ret_skew_100,ret_skew_200,ret_kurt_50,ret_kurt_200,range_realized_vol_50,max_dd_window_50,parkinson_vol_20,parkinson_gk_ratio_20,mom_accel_5_20,mom_accel_20_100,ema_spread_atr_20,ret_autocorr_lag1_50,ret_autocorr_lag5_50,vwap_dev_20,vwap_dev_50,volume_mom_ratio_20,volume_cv_50,obv_slope_50,hl_range_ratio_20,fracdiff_logclose_dstat,fracdiff_logvolume_dstat,btc_ret_3d,btc_ret_7d,btc_ret_14d,btc_vol_14d,sym_vs_btc_ret_7d
ret_autocorr_lag5_50,0.02149686799569957,0.062039308561775384,-0.04362368462942541,-0.15420217879011883,-0.1430722716478162,-0.0644967762599058,-0.07294922435765862,-0.002932212090384721,-0.04087386342908445,0.00983749780952027,-0.11889726493308259,0.033236748068459464,-0.06027683374681469,-0.060297925231006945,-0.0686060078971057,-0.0007942566484859315,0.00043296885933855777,0.0006454643206347787,-0.09473269270869013,-0.18312534622408225,1.0,-0.045922091558904254,-0.06718553368023712,0.00806246820186812,-0.05911142355399627,-0.0778040777951676,0.012548920157511365,0.10488654656823122,-0.08075837383051637,-0.0352584252776209,-0.03959546806665978,-0.07842707443961316,-0.04441113462171323,-0.03535717127382877
vwap_dev_20,0.013640224548237753,-0.033363753623768734,-0.014871062787915768,0.08658380950049838,0.059814828079199106,0.052986310256080624,-0.038290555858162476,0.14524700706839758,0.07226138399693452,0.012028080396441663,-0.03751158559907978,-0.004050506006548364,-0.04230709030810063,0.1411236763298491,-0.04020784760209464,0.06659452324088867,0.011205567079964649,0.010777831540214796,0.5472651313887698,0.01802753352587641,-0.045922091558904254,1.0,0.7938428667558197,0.16544905467793755,0.040068065738484406,0.13395068786738593,0.1366103577362084,0.026631006440680356,0.11686756121237472,0.512118285650619,0.44154361694758315,0.2819190650893884,-0.0165318908361167,0.47362133740057333
vwap_dev_50,0.014734335559297386,-0.056561308464215476,0.0004542189611221964,0.25112191655515226,0.18356588564733786,0.10925026954645847,-0.04499963263915499,0.2743959512049499,0.12009758535351836,0.0342636013520494,-0.06057667442362241,-0.0111036236318144,-0.06317972266303117,0.3225143650580475,-0.027767592484906702,0.08598589015922803,0.0031743972401829814,0.014798307126991482,0.874624212754031,-0.016521800125552325,-0.06718553368023712,0.7938428667558197,1.0,0.215492024434866,0.049433451797127125,0.2866832147936639,0.13252120845391724,-0.0009386201680121268,0.13376569134157548,0.40668259034284965,0.5031530903325027,0.4809234588260508,-0.0658137761268315,0.5265402859108259
volume_mom_ratio_20,-0.0670766026360403,-0.05766651450561637,-0.002536936170936188,0.35690144027082626,0.23448321110913897,0.5299134723977008,-0.03537067661966629,0.09978962103359,0.051893342426772106,0.024818072542338716,0.1127290605832083,0.028525016052756383,-0.018531188369357597,0.08523019945250207,0.2816821773384632,0.14894281257487238,-0.007079923775593761,0.0006403233736988952,0.2088227093706537,0.06622230412642803,0.00806246820186812,0.16544905467793755,0.215492024434866,1.0,0.2475726364230762,0.11968105416291473,0.21352320354322463,0.015292402787199367,0.14486194987824075,-0.05931866435864068,-0.03009841085222232,0.018758791148983475,-0.03296595617776564,0.32647773664952295
volume_cv_50,-0.043006433990010313,-0.07166333420124377,-0.0016451507141581876,0.3087535251357095,0.2894794272124134,0.2002290212935938,0.18541442474236436,0.1815661667384793,0.13413083564657463,0.07555514350006766,0.49680829504792207,0.16813835898631865,0.1518718801311039,0.014248134810553518,0.1655707755226999,0.031073446050489506,-0.002307275541879166,-0.004315870610336253,0.09921924296324358,0.04836326588119444,-0.05911142355399627,0.040068065738484406,0.049433451797127125,0.2475726364230762,1.0,0.10165457776294924,0.06074197443741445,-0.18696815706349992,0.21105928079154807,-0.019766073425265727,-0.04912961327357824,-0.09673702667891124,-0.031613565852361344,0.18890169386543176
obv_slope_50,-0.004510941604834681,-0.08397798169686509,-0.04038968934831642,0.20078050313672874,0.15103552237366785,0.0827859799440006,0.023621937989877027,0.10624568161080306,0.07402435823409186,0.013961768194031759,0.007650661397453931,-0.01124179684536323,0.13212421246604514,0.11339820127334278,0.16464768034550914,-0.043762714363857584,-0.009351553199182877,0.04281888276021892,0.34456698499420657,0.06976863457225817,-0.0778040777951676,0.13395068786738593,0.2866832147936639,0.11968105416291473,0.10165457776294924,1.0,0.03571305455041234,0.04787828288941658,0.018908164909309924,0.06429194216262017,0.16165247663730395,0.2359159511867037,-0.010590677501457453,0.2720522108499608
hl_range_ratio_20,-0.02367895440795356,-0.028951055829659386,-0.015918112546615282,0.11290170936512783,0.06927028119254999,0.11235452094902386,-0.028673300305222384,0.044157204560908714,0.03851253750143416,0.021403295959350345,0.058631246202761354,0.00954189281423425,-0.04601984356554647,0.06284012661482503,-0.011553546898993584,0.09612032042155895,-0.008751262209398062,-0.006055205846840019,0.10782899104265715,0.043759110923791866,0.012548920157511365,0.1366103577362084,0.13252120845391724,0.21352320354322463,0.06074197443741445,0.03571305455041234,1.0,0.008109221210844838,0.5241838475979963,-0.022584182135621453,0.04599342112613597,0.04997497367590086,-0.04618744624093854,0.12732097434969114
fracdiff_logclose_dstat,0.1120621068259169,0.13810133320913018,0.03758130253283143,0.0006971270107968301,-0.015727014005322913,0.014668037070429735,0.023972869223694914,0.1472918333602789,0.15888185624832535,0.15756721006770733,-0.0811549095975828,-0.17319981689661218,0.18637985285698613,-0.14718018138651465,0.170307569400258,-0.0612266541901303,-0.006495170393085896,-0.0054873133864784054,-0.030399040941771004,-0.02959502984521133,0.10488654656823122,0.026631006440680356,-0.0009386201680121268,0.015292402787199367,-0.18696815706349992,0.04787828288941658,0.008109221210844838,1.0,-0.6807980850166753,0.04074499994523633,0.04079481469162095,0.037737932329544414,0.033263708729185014,0.0450285553946074
fracdiff_logvolume_dstat,-0.0723314417532319,-0.11263547327956583,-0.038416012204596964,0.13691421514935814,0.13853305476561475,0.07783694225272667,0.031134576142619955,-0.03681452742527566,-0.05296281797402863,-0.05783800563358924,0.10025848603118102,0.14023252190513946,-0.08755441040650057,0.12922910641750232,-0.04141741864513514,0.10291379778967653,0.00930685476636196,0.0010386301371988805,0.13621353181598986,0.0498734730303567,-0.08075837383051637,0.11686756121237472,0.13376569134157548,0.14486194987824075,0.21105928079154807,0.018908164909309924,0.5241838475979963,-0.6807980850166753,1.0,-0.01738699446942649,-0.0021183888152015848,0.005507906576416472,-0.01628057341975135,0.1082022890651167
btc_ret_3d,-0.02927830976937641,-0.040279645463951304,-0.05861100499571071,-0.02972043598210118,-0.026744460886007505,-0.09860474150668933,-0.031906512252626716,0.12407114991271183,0.07804606067019784,0.01350931213095568,-0.030944200534885384,-0.004895403899616194,-0.08089345593033899,0.11172762057543158,-0.12692006500237735,0.004581332607825053,0.011396545224389458,0.0008860130802126913,0.28048299712792324,-0.03777710363102399,-0.0352584252776209,0.512118285650619,0.40668259034284965,-0.05931866435864068,-0.019766073425265727,0.06429194216262017,-0.022584182135621453,0.04074499994523633,-0.01738699446942649,1.0,0.6748112476356056,0.47636043158081015,-0.03134091913159255,-0.058117483124093705
