symbol,month,feature,gain_share
BCHUSDT,2021-09,range_realized_vol_50,0.091929
BCHUSDT,2021-09,hurst_diff_100_50,0.0571
BCHUSDT,2021-09,ret_kurt_200,0.085485
BCHUSDT,2021-09,hurst_100,0.04508
BCHUSDT,2021-09,btc_ret_14d,0.093071
BCHUSDT,2021-09,ret_skew_50,0.061378
BCHUSDT,2021-09,vwap_dev_20,0.079687
BCHUSDT,2021-09,ret_autocorr_lag1_50,0.068333
BCHUSDT,2021-09,sym_vs_btc_ret_7d,0.050431
BCHUSDT,2021-09,regime_momentum_signed_5d,0.042336
BCHUSDT,2021-10,max_dd_window_50,0.089486
BCHUSDT,2021-10,ema_spread_atr_20,0.101559
BCHUSDT,2021-10,ret_kurt_50,0.079977
BCHUSDT,2021-10,ret_skew_200,0.06929
BCHUSDT,2021-10,range_realized_vol_50,0.080786
BCHUSDT,2021-10,hurst_diff_100_50,0.04909
BCHUSDT,2021-10,ret_kurt_200,0.085262
BCHUSDT,2021-10,hurst_100,0.04257
BCHUSDT,2021-10,btc_ret_14d,0.094304
BCHUSDT,2021-10,ret_skew_50,0.075767
BCHUSDT,2021-10,vwap_dev_20,0.080347
BCHUSDT,2021-10,ret_autocorr_lag1_50,0.057372
BCHUSDT,2021-10,sym_vs_btc_ret_7d,0.047493
BCHUSDT,2021-10,regime_momentum_signed_5d,0.046697
BCHUSDT,2021-11,max_dd_window_50,0.074667
BCHUSDT,2021-11,ema_spread_atr_20,0.104677
BCHUSDT,2021-11,ret_kurt_50,0.068646
BCHUSDT,2021-11,ret_skew_200,0.075598
BCHUSDT,2021-11,range_realized_vol_50,0.091138
BCHUSDT,2021-11,hurst_diff_100_50,0.050653
BCHUSDT,2021-11,ret_kurt_200,0.088355
BCHUSDT,2021-11,hurst_100,0.055464
BCHUSDT,2021-11,btc_ret_14d,0.08443
BCHUSDT,2021-11,ret_skew_50,0.072708
BCHUSDT,2021-11,vwap_dev_20,0.072326
BCHUSDT,2021-11,ret_autocorr_lag1_50,0.064918
BCHUSDT,2021-11,sym_vs_btc_ret_7d,0.047785
BCHUSDT,2021-11,regime_momentum_signed_5d,0.048635
BCHUSDT,2021-12,max_dd_window_50,0.09054
BCHUSDT,2021-12,ema_spread_atr_20,0.102957
BCHUSDT,2021-12,ret_kurt_50,0.06804
BCHUSDT,2021-12,ret_skew_200,0.072814
BCHUSDT,2021-12,range_realized_vol_50,0.078763
BCHUSDT,2021-12,hurst_diff_100_50,0.054036
BCHUSDT,2021-12,ret_kurt_200,0.097677
BCHUSDT,2021-12,hurst_100,0.051415
BCHUSDT,2021-12,btc_ret_14d,0.075969
BCHUSDT,2021-12,ret_skew_50,0.070888
BCHUSDT,2021-12,vwap_dev_20,0.074942
BCHUSDT,2021-12,ret_autocorr_lag1_50,0.066084
BCHUSDT,2021-12,sym_vs_btc_ret_7d,0.051278
BCHUSDT,2021-12,regime_momentum_signed_5d,0.044598
BCHUSDT,2022-01,max_dd_window_50,0.085384
BCHUSDT,2022-01,ema_spread_atr_20,0.099677
BCHUSDT,2022-01,ret_kurt_50,0.074211
BCHUSDT,2022-01,ret_skew_200,0.074219
BCHUSDT,2022-01,range_realized_vol_50,0.078219
BCHUSDT,2022-01,hurst_diff_100_50,0.0492
BCHUSDT,2022-01,ret_kurt_200,0.086439
BCHUSDT,2022-01,hurst_100,0.064888
BCHUSDT,2022-01,btc_ret_14d,0.088232
BCHUSDT,2022-01,ret_skew_50,0.069926
BCHUSDT,2022-01,vwap_dev_20,0.065965
BCHUSDT,2022-01,ret_autocorr_lag1_50,0.069013
BCHUSDT,2022-01,sym_vs_btc_ret_7d,0.050945
BCHUSDT,2022-01,regime_momentum_signed_5d,0.043683
BCHUSDT,2022-02,max_dd_window_50,0.093033
BCHUSDT,2022-02,ema_spread_atr_20,0.089831
BCHUSDT,2022-02,ret_kurt_50,0.070781
BCHUSDT,2022-02,ret_skew_200,0.081424
BCHUSDT,2022-02,range_realized_vol_50,0.076
BCHUSDT,2022-02,hurst_diff_100_50,0.046006
BCHUSDT,2022-02,ret_kurt_200,0.086225
BCHUSDT,2022-02,hurst_100,0.061483
BCHUSDT,2022-02,btc_ret_14d,0.081481
BCHUSDT,2022-02,ret_skew_50,0.068376
BCHUSDT,2022-02,vwap_dev_20,0.08108
BCHUSDT,2022-02,ret_autocorr_lag1_50,0.064124
BCHUSDT,2022-02,sym_vs_btc_ret_7d,0.054134
BCHUSDT,2022-02,regime_momentum_signed_5d,0.046021
BCHUSDT,2022-03,max_dd_window_50,0.072161
BCHUSDT,2022-03,ema_spread_atr_20,0.072648
BCHUSDT,2022-03,ret_kurt_50,0.06917
BCHUSDT,2022-03,ret_skew_200,0.084198
BCHUSDT,2022-03,range_realized_vol_50,0.076727
BCHUSDT,2022-03,hurst_diff_100_50,0.052429
BCHUSDT,2022-03,ret_kurt_200,0.092004
BCHUSDT,2022-03,hurst_100,0.063056
BCHUSDT,2022-03,btc_ret_14d,0.089143
BCHUSDT,2022-03,ret_skew_50,0.067013
BCHUSDT,2022-03,vwap_dev_20,0.072516
BCHUSDT,2022-03,ret_autocorr_lag1_50,0.075604
BCHUSDT,2022-03,sym_vs_btc_ret_7d,0.059989
BCHUSDT,2022-03,regime_momentum_signed_5d,0.05334
BCHUSDT,2022-04,max_dd_window_50,0.063585
BCHUSDT,2022-04,ema_spread_atr_20,0.100343
BCHUSDT,2022-04,ret_kurt_50,0.064964
BCHUSDT,2022-04,ret_skew_200,0.104484
BCHUSDT,2022-04,range_realized_vol_50,0.098088
BCHUSDT,2022-04,hurst_diff_100_50,0.051618
BCHUSDT,2022-04,ret_kurt_200,0.094085
BCHUSDT,2022-04,hurst_100,0.061468
BCHUSDT,2022-04,btc_ret_14d,0.050443
BCHUSDT,2022-04,ret_skew_50,0.070938
BCHUSDT,2022-04,vwap_dev_20,0.075816
BCHUSDT,2022-04,ret_autocorr_lag1_50,0.064072
BCHUSDT,2022-04,sym_vs_btc_ret_7d,0.05195
BCHUSDT,2022-04,regime_momentum_signed_5d,0.048147
BCHUSDT,2022-05,max_dd_window_50,0.081113
BCHUSDT,2022-05,ema_spread_atr_20,0.076452
BCHUSDT,2022-05,ret_kurt_50,0.056631
BCHUSDT,2022-05,ret_skew_200,0.085257
BCHUSDT,2022-05,range_realized_vol_50,0.087902
BCHUSDT,2022-05,hurst_diff_100_50,0.060774
BCHUSDT,2022-05,ret_kurt_200,0.089296
BCHUSDT,2022-05,hurst_100,0.070668
BCHUSDT,2022-05,btc_ret_14d,0.047009
BCHUSDT,2022-05,ret_skew_50,0.075106
BCHUSDT,2022-05,vwap_dev_20,0.091049
BCHUSDT,2022-05,ret_autocorr_lag1_50,0.066876
BCHUSDT,2022-05,sym_vs_btc_ret_7d,0.064178
BCHUSDT,2022-05,regime_momentum_signed_5d,0.047689
BCHUSDT,2022-06,max_dd_window_50,0.108459
BCHUSDT,2022-06,ema_spread_atr_20,0.06554
BCHUSDT,2022-06,ret_kurt_50,0.062276
BCHUSDT,2022-06,ret_skew_200,0.081695
BCHUSDT,2022-06,range_realized_vol_50,0.088157
BCHUSDT,2022-06,hurst_diff_100_50,0.051359
BCHUSDT,2022-06,ret_kurt_200,0.089091
BCHUSDT,2022-06,hurst_100,0.076674
BCHUSDT,2022-06,btc_ret_14d,0.050858
BCHUSDT,2022-06,ret_skew_50,0.074802
BCHUSDT,2022-06,vwap_dev_20,0.084698
BCHUSDT,2022-06,ret_autocorr_lag1_50,0.06057
BCHUSDT,2022-06,sym_vs_btc_ret_7d,0.057427
BCHUSDT,2022-06,regime_momentum_signed_5d,0.048393
BCHUSDT,2022-07,max_dd_window_50,0.099249
BCHUSDT,2022-07,ema_spread_atr_20,0.060844
BCHUSDT,2022-07,ret_kurt_50,0.067994
BCHUSDT,2022-07,ret_skew_200,0.082532
BCHUSDT,2022-07,range_realized_vol_50,0.081
BCHUSDT,2022-07,hurst_diff_100_50,0.0404
BCHUSDT,2022-07,ret_kurt_200,0.11197
BCHUSDT,2022-07,hurst_100,0.072212
BCHUSDT,2022-07,btc_ret_14d,0.066032
BCHUSDT,2022-07,ret_skew_50,0.080361
BCHUSDT,2022-07,vwap_dev_20,0.08086
BCHUSDT,2022-07,ret_autocorr_lag1_50,0.060256
BCHUSDT,2022-07,sym_vs_btc_ret_7d,0.057736
BCHUSDT,2022-07,regime_momentum_signed_5d,0.038554
BCHUSDT,2022-08,max_dd_window_50,0.109726
BCHUSDT,2022-08,ema_spread_atr_20,0.068542
BCHUSDT,2022-08,ret_kurt_50,0.071866
BCHUSDT,2022-08,ret_skew_200,0.072691
BCHUSDT,2022-08,range_realized_vol_50,0.097454
BCHUSDT,2022-08,hurst_diff_100_50,0.03654
BCHUSDT,2022-08,ret_kurt_200,0.097992
BCHUSDT,2022-08,hurst_100,0.068335
BCHUSDT,2022-08,btc_ret_14d,0.052185
BCHUSDT,2022-08,ret_skew_50,0.06969
BCHUSDT,2022-08,vwap_dev_20,0.081653
BCHUSDT,2022-08,ret_autocorr_lag1_50,0.079847
BCHUSDT,2022-08,sym_vs_btc_ret_7d,0.055488
BCHUSDT,2022-08,regime_momentum_signed_5d,0.03799
BCHUSDT,2022-09,max_dd_window_50,0.077462
BCHUSDT,2022-09,ema_spread_atr_20,0.068379
BCHUSDT,2022-09,ret_kurt_50,0.072658
BCHUSDT,2022-09,ret_skew_200,0.072348
BCHUSDT,2022-09,range_realized_vol_50,0.089316
BCHUSDT,2022-09,hurst_diff_100_50,0.041996
BCHUSDT,2022-09,ret_kurt_200,0.101745
BCHUSDT,2022-09,hurst_100,0.070186
BCHUSDT,2022-09,btc_ret_14d,0.056892
BCHUSDT,2022-09,ret_skew_50,0.076044
BCHUSDT,2022-09,vwap_dev_20,0.090209
BCHUSDT,2022-09,ret_autocorr_lag1_50,0.075932
BCHUSDT,2022-09,sym_vs_btc_ret_7d,0.059223
BCHUSDT,2022-09,regime_momentum_signed_5d,0.04761
BCHUSDT,2022-10,max_dd_window_50,0.082447
BCHUSDT,2022-10,ema_spread_atr_20,0.051419
BCHUSDT,2022-10,ret_kurt_50,0.062686
BCHUSDT,2022-10,ret_skew_200,0.079782
BCHUSDT,2022-10,range_realized_vol_50,0.086033
BCHUSDT,2022-10,hurst_diff_100_50,0.043102
BCHUSDT,2022-10,ret_kurt_200,0.116524
BCHUSDT,2022-10,hurst_100,0.067907
BCHUSDT,2022-10,btc_ret_14d,0.062153
BCHUSDT,2022-10,ret_skew_50,0.073107
