symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time
BCHUSDT,1,229.220000,249.127813,0.6100,1697615999999,1697817599999,take_profit,8.6850,0.1000,8.5850,5.2369,219.266093,249.127813,1698220799999
TRXUSDT,1,0.090530,0.093475,0.6000,1698047999999,1698105599999,take_profit,3.2536,0.1000,3.1536,1.8922,0.089057,0.093475,1698652799999
BCHUSDT,-1,250.050000,240.550000,0.0000,1698220799999,1698825600000,timeout,3.7992,0.1000,3.6992,0.0000,262.779457,224.591086,1698825599999
TRXUSDT,1,0.097550,0.100916,0.8100,1698825599999,1698911999999,take_profit,3.4507,0.1000,3.3507,2.7141,0.095867,0.100916,1699430399999
MKRUSDT,-1,1340.600000,1314.300000,0.0000,1698883199999,1699488000000,timeout,1.9618,0.1000,1.8618,0.0000,1404.002924,1213.794152,1699487999999
TRXUSDT,1,0.097180,0.100996,0.9900,1699055999999,1699545599999,take_profit,3.9263,0.1000,3.8263,3.7880,0.095272,0.100996,1699660799999
MKRUSDT,-1,1322.100000,1390.315125,0.8400,1699660799999,1699919999999,stop_loss,-5.1596,0.1000,-5.2596,-4.4181,1390.315125,1185.669751,1700265599999
TRXUSDT,1,0.105710,0.102777,0.9900,1699689599999,1700006399999,stop_loss,-2.7747,0.1000,-2.8747,-2.8459,0.102777,0.111576,1700294399999
TRXUSDT,1,0.102970,0.100099,0.9100,1700150399999,1700582399999,stop_loss,-2.7884,0.1000,-2.8884,-2.6284,0.100099,0.108712,1700755199999
BCHUSDT,1,222.130000,227.720000,0.7500,1700236799999,1700841600000,timeout,2.5165,0.1000,2.4165,1.8124,210.835897,244.718206,1700841599999
TRXUSDT,1,0.101390,0.107352,0.9000,1700726399999,1700956799999,take_profit,5.8802,0.1000,5.7802,5.2022,0.098409,0.107352,1701331199999
TRXUSDT,1,0.108580,0.106267,0.6600,1702108799999,1702166399999,stop_loss,-2.1300,0.1000,-2.2300,-1.4718,0.106267,0.113206,1702713599999
BCHUSDT,1,246.600000,236.223372,0.7900,1701849599999,1702281599999,stop_loss,-4.2079,0.1000,-4.3079,-3.4032,236.223372,267.353256,1702454399999
TRXUSDT,1,0.104710,0.101855,0.8900,1702310399999,1702454399999,stop_loss,-2.7266,0.1000,-2.8266,-2.5157,0.101855,0.110420,1702915199999
TRXUSDT,1,0.106040,0.103444,0.6800,1702598399999,1702655999999,stop_loss,-2.4479,0.1000,-2.5479,-1.7326,0.103444,0.111232,1703203199999
MKRUSDT,1,1344.100000,1284.606014,0.6200,1702281599999,1702886399999,stop_loss,-4.4263,0.1000,-4.5263,-2.8063,1284.606014,1463.087971,1702886399999
BCHUSDT,1,231.900000,219.629813,0.9000,1702425599999,1702915199999,stop_loss,-5.2912,0.1000,-5.3912,-4.8520,219.629813,256.440373,1703030399999
