symbol,trade_idx,close_time,weighted_pnl,cumulative_wpnl,running_peak,drawdown_abs,drawdown_norm
TRXUSDT,17,1678809599999,-3.1002,-4.6149000000000004,5.967099999999999,10.582,0.3192956305802057
TRXUSDT,18,1679097599999,-3.0837,-7.698600000000001,5.967099999999999,13.665700000000001,0.4123415515800337
TRXUSDT,19,1684137599999,-0.8809,-8.579500000000001,5.967099999999999,14.546600000000002,0.4389213588922718
TRXUSDT,20,1687046400000,2.8635,-5.716000000000001,5.967099999999999,11.6831,0.35251963538382164
TRXUSDT,21,1688745599999,-0.6873,-6.4033000000000015,5.967099999999999,12.3704,0.3732578594338855
TRXUSDT,22,1690012799999,-1.2017,-7.605000000000001,5.967099999999999,13.5721,0.40951731504418915
TRXUSDT,23,1694764799999,-0.9743,-8.579300000000002,5.967099999999999,14.546400000000002,0.4389153241988192
TRXUSDT,24,1696204799999,-0.6928,-9.272100000000002,5.967099999999999,15.2392,0.45981950231883106
TRXUSDT,25,1696867199999,-1.2762,-10.548300000000001,5.967099999999999,16.5154,0.4983268812402503
TRXUSDT,26,1697126399999,-1.0679,-11.616200000000001,5.967099999999999,17.5833,0.5305491269307249
TRXUSDT,27,1697443199999,0.8562,-10.760000000000002,5.967099999999999,16.7271,0.5047146042598902
TRXUSDT,28,1697788799999,1.075,-9.685000000000002,5.967099999999999,15.6521,0.4722781269518463
TRXUSDT,29,1698163199999,0.0,-9.685000000000002,5.967099999999999,15.6521,0.4722781269518463
TRXUSDT,30,1698595199999,0.0,-9.685000000000002,5.967099999999999,15.6521,0.4722781269518463
TRXUSDT,31,1698796799999,0.0,-9.685000000000002,5.967099999999999,15.6521,0.4722781269518463
TRXUSDT,32,1699372799999,-1.4394,-11.124400000000001,5.967099999999999,17.0915,0.5157098157306356
TRXUSDT,33,1699574399999,-1.4333,-12.5577,5.967099999999999,18.5248,0.5589574463591187
TRXUSDT,34,1700582399999,-2.0988,-14.656500000000001,5.967099999999999,20.6236,0.6222855194513258
TRXUSDT,35,1700899199999,3.5598,-11.096700000000002,5.967099999999999,17.0638,0.5148740106874422
TRXUSDT,36,1701100799999,-1.4692,-12.565900000000003,5.967099999999999,18.533,0.5592048687906778
