symbol,close_time,weighted_pnl,cum_wpnl,peak_30d,dd_30d,period,brake_state,action
BCHUSDT,1751615999999,4.0479,71.24420000000002,71.24420000000002,0.0,OOS,off,taken
BCHUSDT,1752163199999,2.7377,73.98190000000002,73.98190000000002,0.0,OOS,off,taken
BCHUSDT,1754207999999,-3.6463,70.33560000000003,73.98190000000002,3.6462999999999965,OOS,off,taken
BCHUSDT,1754438399999,-2.8531,67.48250000000003,73.98190000000002,6.499399999999994,OOS,off,taken
BCHUSDT,1754755199999,-1.451,66.03150000000004,73.98190000000002,7.950399999999988,OOS,off,taken
BCHUSDT,1755043199999,3.2247,69.25620000000004,70.33560000000003,1.0793999999999926,OOS,off,taken
BCHUSDT,1755503999999,-2.723,66.53320000000004,70.33560000000003,3.8023999999999916,OOS,off,taken
BCHUSDT,1756108799999,-0.963,65.57020000000004,70.33560000000003,4.765399999999985,OOS,off,taken
BCHUSDT,1757087999999,3.9927,69.56290000000004,69.56290000000004,0.0,OOS,off,taken
BCHUSDT,1757347199999,-1.2104,68.35250000000005,69.56290000000004,1.2103999999999928,OOS,off,taken
BCHUSDT,1758412799999,1.5567,69.90920000000006,69.90920000000006,0.0,OOS,off,taken
BCHUSDT,1761494399999,-2.2177,67.69150000000006,67.69150000000006,0.0,OOS,off,taken
BCHUSDT,1761811199999,-2.178,65.51350000000006,67.69150000000006,2.1779999999999973,OOS,off,taken
BCHUSDT,1762185599999,5.8727,71.38620000000006,71.38620000000006,0.0,OOS,off,taken
BCHUSDT,1762559999999,-4.0343,67.35190000000006,71.38620000000006,4.034300000000002,OOS,off,taken
BCHUSDT,1762790399999,-2.5832,64.76870000000005,71.38620000000006,6.617500000000007,OOS,off,taken
BCHUSDT,1764633600000,4.4243,69.19300000000005,71.38620000000006,2.1932000000000045,OOS,off,taken
BCHUSDT,1765411200000,2.4218,71.61480000000006,71.61480000000006,0.0,OOS,off,taken
BCHUSDT,1766505599999,-2.7316,68.88320000000006,71.61480000000006,2.7316000000000003,OOS,off,taken
BCHUSDT,1767715199999,1.8076,70.69080000000005,71.61480000000006,0.9240000000000066,OOS,off,taken
BCHUSDT,1778198399999,1.5858,72.27660000000006,72.27660000000006,0.0,OOS,off,taken
LDOUSDT,1728287999999,-1.7822,-1.7822,-1.7822,0.0,IS,off,taken
LDOUSDT,1728921599999,-1.7291,-3.5113000000000003,-1.7822,1.7291000000000003,IS,off,taken
LDOUSDT,1731542399999,0.0,-3.5113000000000003,-3.5113000000000003,0.0,IS,off,taken
LDOUSDT,1732521599999,0.0,-3.5113000000000003,-3.5113000000000003,0.0,IS,off,taken
LDOUSDT,1738483199999,9.3792,5.867900000000001,5.867900000000001,0.0,IS,off,taken
LDOUSDT,1738713599999,-9.568,-3.700099999999999,5.867900000000001,9.568,IS,off,taken
LDOUSDT,1739433599999,15.3577,11.6576,11.6576,0.0,IS,off,taken
LDOUSDT,1739923199999,-2.3476,9.31,11.6576,2.3476,IS,off,taken
LDOUSDT,1740729599999,-3.641,5.6690000000000005,11.6576,5.9886,IS,off,taken
LDOUSDT,1747612799999,9.7437,15.412700000000001,15.412700000000001,0.0,OOS,off,taken
