model,month,symbol,n,share_baseline_weight,share_uniform_weight,delta_baseline_vs_uniform
C,2024-06,LINKUSDT,90,1.0,1.0,0.0
C,2024-07,LINKUSDT,93,1.0,1.0,0.0
C,2024-08,LINKUSDT,93,1.0,1.0,0.0
C,2024-09,LINKUSDT,90,1.0,1.0,0.0
C,2024-10,LINKUSDT,93,1.0,1.0,0.0
C,2024-11,LINKUSDT,90,1.0,1.0,0.0
C,2024-12,LINKUSDT,93,1.0,1.0,0.0
C,2025-01,LINKUSDT,93,1.0,1.0,0.0
C,2025-02,LINKUSDT,84,1.0,1.0,0.0
C,2025-03,LINKUSDT,68,1.0,1.0,0.0
D,2020-01,LTCUSDT,55,1.0,1.0,0.0
D,2020-02,LTCUSDT,87,1.0,1.0,0.0
D,2020-03,LTCUSDT,93,1.0,1.0,0.0
D,2020-04,LTCUSDT,90,1.0,1.0,0.0
D,2020-05,LTCUSDT,93,1.0,1.0,0.0
D,2020-06,LTCUSDT,90,1.0,1.0,0.0
D,2020-07,LTCUSDT,93,1.0,1.0,0.0
D,2020-08,LTCUSDT,93,1.0,1.0,0.0
D,2020-09,LTCUSDT,90,1.0,1.0,0.0
D,2020-10,LTCUSDT,93,1.0,1.0,0.0
D,2020-11,LTCUSDT,90,1.0,1.0,0.0
D,2020-12,LTCUSDT,93,1.0,1.0,0.0
D,2021-01,LTCUSDT,93,1.0,1.0,0.0
D,2021-02,LTCUSDT,84,1.0,1.0,0.0
D,2021-03,LTCUSDT,93,1.0,1.0,0.0
D,2021-04,LTCUSDT,90,1.0,1.0,0.0
D,2021-05,LTCUSDT,93,1.0,1.0,0.0
D,2021-06,LTCUSDT,90,1.0,1.0,0.0
D,2021-07,LTCUSDT,93,1.0,1.0,0.0
D,2021-08,LTCUSDT,93,1.0,1.0,0.0
D,2021-09,LTCUSDT,90,1.0,1.0,0.0
D,2021-10,LTCUSDT,93,1.0,1.0,0.0
D,2021-11,LTCUSDT,90,1.0,1.0,0.0
D,2021-12,LTCUSDT,93,1.0,1.0,0.0
D,2022-01,LTCUSDT,93,1.0,1.0,0.0
D,2022-02,LTCUSDT,75,1.0,1.0,0.0
D,2022-03,LTCUSDT,93,1.0,1.0,0.0
D,2022-04,LTCUSDT,84,1.0,1.0,0.0
D,2022-05,LTCUSDT,93,1.0,1.0,0.0
D,2022-06,LTCUSDT,90,1.0,1.0,0.0
D,2022-07,LTCUSDT,93,1.0,1.0,0.0
D,2022-08,LTCUSDT,93,1.0,1.0,0.0
D,2022-09,LTCUSDT,90,1.0,1.0,0.0
D,2022-10,LTCUSDT,93,1.0,1.0,0.0
D,2022-11,LTCUSDT,90,1.0,1.0,0.0
D,2022-12,LTCUSDT,93,1.0,1.0,0.0
D,2023-01,LTCUSDT,93,1.0,1.0,0.0
D,2023-02,LTCUSDT,84,1.0,1.0,0.0
D,2023-03,LTCUSDT,93,1.0,1.0,0.0
D,2023-04,LTCUSDT,90,1.0,1.0,0.0
D,2023-05,LTCUSDT,93,1.0,1.0,0.0
D,2023-06,LTCUSDT,90,1.0,1.0,0.0
D,2023-07,LTCUSDT,93,1.0,1.0,0.0
D,2023-08,LTCUSDT,93,1.0,1.0,0.0
D,2023-09,LTCUSDT,90,1.0,1.0,0.0
D,2023-10,LTCUSDT,93,1.0,1.0,0.0
D,2023-11,LTCUSDT,90,1.0,1.0,0.0
D,2023-12,LTCUSDT,93,1.0,1.0,0.0
D,2024-01,LTCUSDT,93,1.0,1.0,0.0
D,2024-02,LTCUSDT,87,1.0,1.0,0.0
D,2024-03,LTCUSDT,93,1.0,1.0,0.0
D,2024-04,LTCUSDT,90,1.0,1.0,0.0
D,2024-05,LTCUSDT,93,1.0,1.0,0.0
D,2024-06,LTCUSDT,90,1.0,1.0,0.0
D,2024-07,LTCUSDT,93,1.0,1.0,0.0
D,2024-08,LTCUSDT,93,1.0,1.0,0.0
D,2024-09,LTCUSDT,90,1.0,1.0,0.0
D,2024-10,LTCUSDT,93,1.0,1.0,0.0
D,2024-11,LTCUSDT,90,1.0,1.0,0.0
D,2024-12,LTCUSDT,93,1.0,1.0,0.0
D,2025-01,LTCUSDT,93,1.0,1.0,0.0
D,2025-02,LTCUSDT,84,1.0,1.0,0.0
D,2025-03,LTCUSDT,68,1.0,1.0,0.0
E,2020-08,DOTUSDT,17,1.0,1.0,0.0
E,2020-09,DOTUSDT,90,1.0,1.0,0.0
E,2020-10,DOTUSDT,93,1.0,1.0,0.0
E,2020-11,DOTUSDT,90,1.0,1.0,0.0
E,2020-12,DOTUSDT,93,1.0,1.0,0.0
E,2021-01,DOTUSDT,93,1.0,1.0,0.0
E,2021-02,DOTUSDT,84,1.0,1.0,0.0
E,2021-03,DOTUSDT,93,1.0,1.0,0.0
E,2021-04,DOTUSDT,90,1.0,1.0,0.0
E,2021-05,DOTUSDT,93,1.0,1.0,0.0
E,2021-06,DOTUSDT,90,1.0,1.0,0.0
E,2021-07,DOTUSDT,93,1.0,1.0,0.0
E,2021-08,DOTUSDT,93,1.0,1.0,0.0
E,2021-09,DOTUSDT,90,1.0,1.0,0.0
E,2021-10,DOTUSDT,93,1.0,1.0,0.0
E,2021-11,DOTUSDT,90,1.0,1.0,0.0
E,2021-12,DOTUSDT,93,1.0,1.0,0.0
E,2022-01,DOTUSDT,93,1.0,1.0,0.0
E,2022-02,DOTUSDT,84,1.0,1.0,0.0
E,2022-03,DOTUSDT,93,1.0,1.0,0.0
E,2022-04,DOTUSDT,90,1.0,1.0,0.0
E,2022-05,DOTUSDT,93,1.0,1.0,0.0
E,2022-06,DOTUSDT,90,1.0,1.0,0.0
E,2022-07,DOTUSDT,93,1.0,1.0,0.0
E,2022-08,DOTUSDT,93,1.0,1.0,0.0
E,2022-09,DOTUSDT,90,1.0,1.0,0.0
E,2022-10,DOTUSDT,93,1.0,1.0,0.0
E,2022-11,DOTUSDT,90,1.0,1.0,0.0
E,2022-12,DOTUSDT,93,1.0,1.0,0.0
E,2023-01,DOTUSDT,93,1.0,1.0,0.0
E,2023-02,DOTUSDT,84,1.0,1.0,0.0
E,2023-03,DOTUSDT,93,1.0,1.0,0.0
E,2023-04,DOTUSDT,90,1.0,1.0,0.0
E,2023-05,DOTUSDT,93,1.0,1.0,0.0
E,2023-06,DOTUSDT,90,1.0,1.0,0.0
E,2023-07,DOTUSDT,93,1.0,1.0,0.0
E,2023-08,DOTUSDT,93,1.0,1.0,0.0
E,2023-09,DOTUSDT,90,1.0,1.0,0.0
E,2023-10,DOTUSDT,93,1.0,1.0,0.0
E,2023-11,DOTUSDT,90,1.0,1.0,0.0
E,2023-12,DOTUSDT,93,1.0,1.0,0.0
E,2024-01,DOTUSDT,93,1.0,1.0,0.0
E,2024-02,DOTUSDT,87,1.0,1.0,0.0
E,2024-03,DOTUSDT,93,1.0,1.0,0.0
E,2024-04,DOTUSDT,90,1.0,1.0,0.0
E,2024-05,DOTUSDT,93,1.0,1.0,0.0
E,2024-06,DOTUSDT,90,1.0,1.0,0.0
E,2024-07,DOTUSDT,93,1.0,1.0,0.0
E,2024-08,DOTUSDT,93,1.0,1.0,0.0
E,2024-09,DOTUSDT,90,1.0,1.0,0.0
E,2024-10,DOTUSDT,93,1.0,1.0,0.0
E,2024-11,DOTUSDT,90,1.0,1.0,0.0
E,2024-12,DOTUSDT,93,1.0,1.0,0.0
E,2025-01,DOTUSDT,93,1.0,1.0,0.0
E,2025-02,DOTUSDT,84,1.0,1.0,0.0
E,2025-03,DOTUSDT,68,1.0,1.0,0.0
