family,name,n,ic,t,ic_h1,t_h1,ic_h2,t_h2,abs_t,consistent
SLOT-TILT,tilt1_7d,4313,-0.003011229371436462,-0.7296796668184229,0.00643746088238854,1.1034071508990204,-0.012368354099036116,-2.1206499850254277,0.7296796668184229,False
SLOT-TILT-harvest,tilt1_7d@h0,1438,0.016926345597368813,2.433317714618457,0.02077221885285406,2.114164210905839,0.013112432507441617,1.3306930874646228,2.433317714618457,True
SLOT-TILT-harvest,tilt1_7d@h1,1438,-0.006229482354439475,-0.8611841435041958,0.0041027288207052355,0.4009562853637947,-0.016447367541477468,-1.6093337549336126,0.8611841435041958,False
SLOT-TILT-harvest,tilt1_7d@h2,1437,-0.01974218623683914,-2.7336840146376926,-0.0055826136389397875,-0.5450566093660291,-0.033764477659966624,-3.321797383410862,2.7336840146376926,True
SLOT-TILT,tilt2_7d,4313,0.006365289958830808,1.549109573453316,0.0048286089707795824,0.8380623674861789,0.007887079252950756,1.345913588708036,1.549109573453316,True
SLOT-TILT-harvest,tilt2_7d@h0,1438,-0.037600442894278246,-5.415674919349799,-0.03610488557911868,-3.765951910748172,-0.03908357175529522,-3.889922115843687,5.415674919349799,True
SLOT-TILT-harvest,tilt2_7d@h1,1438,0.032532446295276934,4.460551511829692,0.027678092734830205,2.7149117306111785,0.037333086400006404,3.5781606549730136,4.460551511829692,True
SLOT-TILT-harvest,tilt2_7d@h2,1437,0.024176252402088493,3.468532423551569,0.02296986939935435,2.3007026934584887,0.02537093917072411,2.605339134396474,3.468532423551569,True
SLOT-FORM,slot0_14d,4294,-0.015293731143202201,-3.68771931573093,-0.02505069343675812,-4.349288390711018,-0.00571686967647703,-0.9594647951263927,3.68771931573093,True
SLOT-FORM-harvest,slot0_14d@h0,1431,0.002130332360702579,0.29848558946831893,-0.00730861524514254,-0.7401245526348699,0.011399326616303952,1.1073602743957793,0.29848558946831893,False
SLOT-FORM-harvest,slot0_14d@h1,1432,-0.036834648777234066,-5.187857269716119,-0.04627451745164805,-4.622601648896568,-0.027577571474108848,-2.7400649889390656,5.187857269716119,True
SLOT-FORM-harvest,slot0_14d@h2,1431,-0.011161823960919965,-1.5336627075617721,-0.021568947613483765,-2.1565683356243475,-0.0009420861912970656,-0.08923197610756307,1.5336627075617721,True
SLOT-FORM,slot1_14d,4293,-0.014685048442279445,-3.5074858364557757,-0.012529219471681683,-2.069540211487701,-0.016800088770609328,-2.9013398247440914,3.5074858364557757,True
SLOT-FORM-harvest,slot1_14d@h0,1431,-0.011288870938971235,-1.5653986226997327,-0.009628720929533962,-0.9408386817466465,-0.012919129050731656,-1.2703177240916357,1.5653986226997327,True
SLOT-FORM-harvest,slot1_14d@h1,1431,-0.009794916361404867,-1.3123777251720061,-0.013537193771140174,-1.2493319601725037,-0.006130279561830044,-0.5961476143173149,1.3123777251720061,True
SLOT-FORM-harvest,slot1_14d@h2,1431,-0.02297135802646224,-3.246920078697784,-0.01442316539885534,-1.3876431837895726,-0.031365635828364304,-3.263290311622861,3.246920078697784,True
SLOT-FORM,slot2_14d,4292,-0.005386030140311643,-1.2389852657623315,-0.0074199286522843525,-1.2070249233806527,-0.0033915519040670626,-0.5515829688865846,1.2389852657623315,True
SLOT-FORM-harvest,slot2_14d@h0,1431,-0.04144385993854094,-5.657804914297379,-0.044371428632367656,-4.295945494825548,-0.03856900370042025,-3.710790887778199,5.657804914297379,True
SLOT-FORM-harvest,slot2_14d@h1,1431,0.00460439888732319,0.6079425076086665,-0.009958552536518941,-0.9181205238086212,0.018865214389508847,1.7867528612258914,0.6079425076086665,False
SLOT-FORM-harvest,slot2_14d@h2,1430,0.020699599581870644,2.725385579655347,0.03212238659618619,3.0358861925511356,0.009498307052597226,0.8727592612988317,2.725385579655347,True
SLOT-TILT,tilt0_14d,4292,-0.004094203347309281,-1.0057447324576838,-0.009397112267132102,-1.6310231923946803,0.0011059265348427679,0.19229222570077872,1.0057447324576838,False
SLOT-TILT-harvest,tilt0_14d@h0,1431,0.019683890718854968,2.8102344309574376,0.014705691364736607,1.4614023824873354,0.02457245490454738,2.51909572321357,2.8102344309574376,True
SLOT-TILT-harvest,tilt0_14d@h1,1431,-0.022505216337478717,-3.2057345367965446,-0.020536053676776946,-2.0426998043576607,-0.024433525001070492,-2.4901844340368435,3.2057345367965446,True
SLOT-TILT-harvest,tilt0_14d@h2,1430,-0.009465037626853742,-1.3356768554839198,-0.022395017997310585,-2.2921045570123155,0.0032142229026247103,0.3138571626699874,1.3356768554839198,False
SLOT-TILT,tilt1_14d,4292,-0.004886672067975964,-1.1869029925927541,0.002681343514522749,0.45469360108712203,-0.012308007145414716,-2.1418877574222037,1.1869029925927541,False
SLOT-TILT-harvest,tilt1_14d@h0,1431,0.00501985211834619,0.7169952402905597,0.007644705336172058,0.7780693443129981,0.0024422608005642797,0.24473956304345829,0.7169952402905597,True
SLOT-TILT-harvest,tilt1_14d@h1,1431,0.0014167747373550912,0.19679762870431744,0.012302754935409518,1.189333624879787,-0.00924335524912144,-0.9231978284734161,0.19679762870431744,False
SLOT-TILT-harvest,tilt1_14d@h2,1430,-0.02110797870367929,-2.9411554705348384,-0.011910440126066511,-1.1393150160877095,-0.03012717165790346,-3.0609667786300534,2.9411554705348384,True
SLOT-TILT,tilt2_14d,4292,0.008434600466783636,2.0622131590032526,0.008288962029481825,1.4463405932447873,0.00857741619325634,1.4698054164255085,2.0622131590032526,True
SLOT-TILT-harvest,tilt2_14d@h0,1431,-0.030308273623125256,-4.352996683040353,-0.03186774244406497,-3.27166894908592,-0.028776883880678922,-2.8911411140490753,4.352996683040353,True
SLOT-TILT-harvest,tilt2_14d@h1,1431,0.02446728440695297,3.4414305094931277,0.016080941162728197,1.604438949690502,0.03267963712743864,3.2416068403037435,3.4414305094931277,True
SLOT-TILT-harvest,tilt2_14d@h2,1430,0.031160671868376157,4.406216391510533,0.04071040587892567,4.139993630331305,0.021796112755538128,2.1465945490677774,4.406216391510533,True
SLOT-FORM,slot0_30d,4246,-0.009934874783858655,-2.376068371227628,-0.020208814182959573,-3.427395715215323,-7.815119791919703e-05,-0.013201636802085345,2.376068371227628,True
