config,sharpe_1x,sharpe_2x,sharpe_3x,ret_1x,ret_2x,vol_1x,dd_1x,dd_2x,calmar_2x,turnover,gross_edge,cost_share,trades,long_gross,short_gross,top5,pass,aw,vw,power,cadence,phase,weekday,slot,F1,F2,F3,F4,worst,median_fold,npos
a252|v378|p0.8|c21|ph16,0.9168592612965288,0.8360051966666154,0.8360051966666154,0.1049121146551042,0.09466856745851104,0.11618738427453454,0.16118588203528672,0.16353151222711837,0.5789010703150105,12.414630433292535,92.8865170693759,0.007643642515598535,4543,0.7568308703707047,-0.3003091376344939,0.03368670643023322,phase,252,378,0.8,21,16,5,1,-0.1245821513390445,1.0978576142314211,1.086723609779623,1.5205217445010382,-0.1245821513390445,1.092290612005522,3
a252|v378|p0.8|c21|ph17,0.7808809936248673,0.706100718579742,0.706100718579742,0.08876017567540462,0.07929695774555401,0.11780618297459922,0.1923817286916174,0.19453004413942687,0.40763347428595115,11.630471252014246,86.16788742903304,0.00722759334454206,4541,0.7236478566724953,-0.3268971213799491,0.036069936056297075,phase,252,378,0.8,21,17,5,2,-0.3337516763158597,1.3670288347254138,0.6817077902266595,1.3136905314387295,-0.3337516763158597,0.9976991608326945,3
a252|v378|p0.8|c21|ph18,0.7134157017515497,0.6390180487484743,0.6390180487484743,0.07763649884828516,0.06854946963930564,0.11391478442094553,0.19645091497622302,0.1983871552504991,0.3455338101539373,11.290606239521521,79.32744855623523,0.00706376855446575,4327,0.6461387697656824,-0.29155754942550766,0.03465104703131847,phase,252,378,0.8,21,18,6,0,-0.6118839502411765,1.5233706839973074,0.6429070444056392,1.2817059678702445,-0.6118839502411765,0.9623065061379419,3
a252|v378|p0.8|c21|ph19,0.6725580547482006,0.5972723933895232,0.5972723933895232,0.07225759593109715,0.06315921173620587,0.11328732827495352,0.18537014892954573,0.1873036209197434,0.3372022998064121,11.359944447388859,74.52095386921286,0.007090051405261855,4342,0.6544735594381632,-0.31933098960408324,0.03468239738817089,phase,252,378,0.8,21,19,6,1,-0.6215011552398274,1.4151667665272425,0.6613028911566449,1.2215470335793386,-0.6215011552398274,0.9414249623679918,3
a252|v378|p0.8|c21|ph20,0.7003260182323988,0.622487374738644,0.622487374738644,0.07452092637990426,0.06521644722236175,0.11152604760542988,0.1571551467915403,0.1587565300279935,0.4107953682967381,11.603650333149501,75.06766929006503,0.007187666531523532,4482,0.6102699768119946,-0.2654260769674806,0.03281096325450434,phase,252,378,0.8,21,20,6,2,-0.4559846563071893,1.1700202053983695,1.020327609814385,0.9714559403461646,-0.4559846563071893,0.9958917750802747,3
a252|v378|p1.0|c21|ph0,0.9580958584460265,0.8808475863348224,0.8808475863348224,0.10991772876115613,0.09998541962370311,0.1158626233593069,0.15949490393532606,0.1610502863052502,0.6208335416069584,12.000918159647538,100.02719961580138,0.007207291116315045,4409,0.6719777601690127,-0.19674369126657348,0.03741001466426849,phase,252,378,1.0,21,0,0,0,0.05569443417832237,1.2066818722243695,1.5546959621469771,1.0276841810248518,0.05569443417832237,1.1171830266246108,4
a252|v378|p1.0|c21|ph1,0.8345823368494351,0.7530642765410167,0.7530642765410167,0.09357661965329145,0.08333912155445078,0.11513400229799192,0.15603890505322104,0.15783140867477952,0.5280262164178977,12.560297822287767,84.18312036715069,0.007603461474479215,4346,0.6346243368981691,-0.21602364740687657,0.03760970074871939,phase,252,378,1.0,21,1,0,1,-0.05722834906522283,1.0262571943773178,1.3397035075077701,0.9537083586656311,-0.05722834906522283,0.9899827765214744,3
a252|v378|p1.0|c21|ph2,0.9962361738977281,0.917467522999965,0.917467522999965,0.11346787095208799,0.1034698936994416,0.11446655448902372,0.1460558835959872,0.1473794304242566,0.7020646870569794,12.041788732209728,102.46126550082217,0.0072296073512523465,4355,0.7092129639871672,-0.2207566794907676,0.036312522787743336,phase,252,378,1.0,21,2,0,2,-0.00695093259919998,1.4024483671641392,1.408682271310265,1.1088443176662652,-0.00695093259919998,1.2556463424152022,3
a252|v378|p1.0|c21|ph3,1.1405656589223117,1.063356080942192,1.063356080942192,0.1322274967679684,0.12222311772505345,0.11465168254876415,0.12905171237756752,0.13056693403670538,0.9360954871674761,11.842700423861327,118.21538787782576,0.00707863607904899,4305,0.7295434019880793,-0.17530101353206123,0.03661478376008475,phase,252,378,1.0,21,3,1,0,0.5398163705562881,1.745865955892497,1.2104423140376155,0.9370383482472822,0.5398163705562881,1.073740331142449,4
a252|v378|p1.0|c21|ph4,0.9632505773311334,0.8804409881868117,0.8804409881868117,0.10748936730050529,0.09720475398737327,0.11259365589201895,0.14091834543320247,0.14249744831275568,0.6821508394594318,12.452261998729062,94.8394800373534,0.007480735921061942,4590,0.6241430387594927,-0.15660990261048466,0.03220392374566475,phase,252,378,1.0,21,4,1,1,0.16771516947897494,1.574285121028807,1.2660955711974453,0.7443851603743381,0.16771516947897494,1.0052403657858917,4
a252|v378|p1.0|c21|ph5,1.0922459236291044,1.0135252454155539,1.0135252454155539,0.12564485121539848,0.11554455442212652,0.11435344968125803,0.12299167051462079,0.12452734372931618,0.9278649247773609,12.029315941330498,111.5236244846267,0.007228345820059601,4390,0.6783582595432387,-0.14725032515688796,0.033890795325143566,phase,252,378,1.0,21,5,1,2,0.7337172477966003,1.8856156667633726,0.9004381022553232,0.64517567108172,0.64517567108172,0.8170776750259617,4
a252|v378|p1.0|c21|ph6,0.9906146563903769,0.915099988591151,0.915099988591151,0.11412123259672358,0.10441297753307022,0.11586775001233185,0.1355453041963134,0.137382975639045,0.7600139467600487,11.676235724662806,105.83132703692308,0.007049128840486701,4234,0.6276403808266555,-0.13843403873872237,0.0358229221886786,phase,252,378,1.0,21,6,2,0,0.3890858437903101,1.7001768752866342,0.6656513007803648,0.9653157589510963,0.3890858437903101,0.8154835298657306,4
a252|v378|p1.0|c21|ph7,1.1828460275423875,1.1075829079907742,1.1075829079907742,0.14029409012901262,0.1302982149089671,0.11675867334371041,0.12123051310244082,0.12263616641880026,1.0624778865314581,11.74964744202663,124.95115582578657,0.00701631644145929,4291,0.6951449321275947,-0.11392554005180952,0.03548059520092723,phase,252,378,1.0,21,7,2,1,0.9063917430760332,1.683771308987025,0.8727299344884011,1.0226884592195566,0.8727299344884011,0.964540101147795,4
