config,sharpe_1x,sharpe_2x,sharpe_3x,ret_1x,ret_2x,vol_1x,dd_1x,dd_2x,calmar_2x,turnover,gross_edge,cost_share,trades,long_gross,short_gross,top5,stage,cell,aw,vw,neut,power,cadence,phase,quantity,weekday,slot,F1,F2,F3,F4,worst,median_fold,npos
deskclosed|volume|a252|v378|N|p1.0|c21|ph2,0.826415136198539,0.7370534626186911,0.7370534626186911,0.09507596007526664,0.08354926882721436,0.11840778254779065,0.10074438357000937,0.10218984647998453,0.817588749813601,14.109944848178683,76.84468016145017,0.007879759782319964,7154,0.5213076272286528,-0.09205386901261989,0.03187284276736666,B,deskclosed,252,378,True,1.0,21,2,volume,0,2,-0.27696832653027403,1.7661364359021638,1.123268306491013,0.7728932712299222,-0.27696832653027403,0.9480807888604676,3
deskclosed|volume|a252|v378|N|p1.0|c21|ph3,0.8146789174808173,0.7264759806731351,0.7264759806731351,0.09268936064829414,0.08145879406437673,0.11726544649893665,0.10076994884915447,0.10132705440197609,0.8039194916415937,13.778777963196228,76.82574103081515,0.0076927610282708355,7274,0.5167341280799573,-0.09765846348578325,0.029618529208047587,B,deskclosed,252,378,True,1.0,21,3,volume,1,0,0.019598520160171374,1.6919897578234084,0.7673702223586425,0.6712579866463103,0.019598520160171374,0.7193141045024765,4
deskclosed|volume|a252|v378|N|p1.0|c21|ph4,0.8561573404164768,0.7649058055658857,0.7649058055658857,0.0976238008180017,0.08599109637381819,0.11677434193616613,0.10583949452876751,0.10740555384691464,0.8006205758817787,14.219121206007445,77.80501185248825,0.007899905793762076,7294,0.5086318616491837,-0.07065082006563081,0.02765552117694041,B,deskclosed,252,378,True,1.0,21,4,volume,1,1,0.04909814858822588,1.696822567305124,1.143132315012583,0.4868236385613513,0.04909814858822588,0.8149779767869672,4
deskclosed|volume|a252|v378|N|p1.0|c21|ph5,0.901173215301686,0.8122983962581457,0.8122983962581457,0.10424586608686348,0.09275879871030757,0.11774187233974923,0.10507761078819733,0.10646239124655077,0.8712823150429925,13.949323832749545,83.4969061601999,0.00771792798775554,7792,0.5493510888190647,-0.0882474782646483,0.02954774909244601,B,deskclosed,252,378,True,1.0,21,5,volume,1,2,0.5805617823153622,1.648642225421955,0.6731117768587552,0.4404381923787904,0.4404381923787904,0.6268367795870586,4
deskclosed|volume|a252|v378|N|p1.0|c21|ph6,0.7557567319702363,0.6684750895425079,0.6684750895425079,0.08691505716965331,0.07563125752875655,0.11977723794817934,0.11609694096421197,0.11940777449515871,0.6333863757909913,13.909689836111998,72.37475402005583,0.007708531838291076,7477,0.5196921462814474,-0.12114516007467965,0.028348409801165333,B,deskclosed,252,378,True,1.0,21,6,volume,2,0,0.4702735874677591,1.603852788399178,0.3847943623627245,0.29462352597426805,0.29462352597426805,0.4275339749152418,4
deskclosed|volume|a252|v378|N|p1.0|c21|ph7,0.8016726859156774,0.7143248273282256,0.7143248273282256,0.09228618524968146,0.08100925324210939,0.11894741776235794,0.09968291119235007,0.10170900914702308,0.7964806060101162,13.842722426635754,76.19357150282035,0.007672122946629852,7792,0.5478294254064842,-0.1302733333089684,0.027626051209852873,B,deskclosed,252,378,True,1.0,21,7,volume,2,1,0.4398047995873565,1.6371114869727463,0.4853559271452747,0.38105687013171663,0.38105687013171663,0.4625803633663156,4
deskclosed|volume|a252|v378|N|p1.0|c21|ph8,0.8135036882775115,0.7277710021325455,0.7277710021325455,0.09489853788006286,0.08367525316097568,0.12035527457219224,0.08872716976125616,0.08937029913759431,0.9362758541531728,13.742737268226255,78.43666527553542,0.007587739802501419,7972,0.5551852348963717,-0.12844130940405096,0.027085644675638273,B,deskclosed,252,378,True,1.0,21,8,volume,2,2,0.24520584297228154,1.7359215634294278,0.596492226686903,0.5123220305496857,0.24520584297228154,0.5544071286182943,4
deskclosed|volume|a252|v378|N|p1.0|c21|ph9,0.7629717833967458,0.6750917116652322,0.6750917116652322,0.08785897783907637,0.07648352073592002,0.11978758149239037,0.08953212581396963,0.09268255056442065,0.825220284402497,14.023554969726328,72.34514707951442,0.007800538195325728,7711,0.588390603801823,-0.18674547168776215,0.028665546827803888,B,deskclosed,252,378,True,1.0,21,9,volume,3,0,0.006527246620086555,1.8516818773988133,0.32095182185377874,0.7170682075067601,0.006527246620086555,0.5190100146802694,4
deskclosed|volume|a252|v378|N|p1.0|c21|ph10,0.7321863761604265,0.6452330051544822,0.6452330051544822,0.0835501234952909,0.07240097542761736,0.11932546981153487,0.09297798342409136,0.09383362716741983,0.7715887961832499,13.795962925441579,70.60240124558,0.007672339334589386,7474,0.5775981413412301,-0.191989752575465,0.026130507203039954,B,deskclosed,252,378,True,1.0,21,10,volume,3,1,0.23768773122969372,1.8342394491488003,0.09386255640447982,0.4762373321317115,0.09386255640447982,0.3569625316807026,4
deskclosed|volume|a252|v378|N|p1.0|c21|ph11,0.5582586386825382,0.47018401395912235,0.47018401395912235,0.061624862559715776,0.05049740862181884,0.12003106258070602,0.10497977351200771,0.1065090624711309,0.4741137275103335,14.053838105673119,54.857250028923985,0.007883507513987153,7937,0.529453781600262,-0.22424012512141198,0.02741625606771336,B,deskclosed,252,378,True,1.0,21,11,volume,3,2,0.019716027271513187,1.454248547625833,0.41971282646553365,0.15429299877906852,0.019716027271513187,0.2870029126223011,4
deskclosed|volume|a252|v378|N|p1.0|c21|ph12,0.44607120990377314,0.35629722658358925,0.35629722658358925,0.048068670234101996,0.03668158472944283,0.12192161128619618,0.12366797568966015,0.12431767793256265,0.2950633034614845,14.567216776342143,44.36007599039442,0.008202771971115044,7913,0.5091385934389612,-0.2533130842947314,0.02887245560304491,B,deskclosed,252,378,True,1.0,21,12,volume,4,0,-0.5465043635174563,1.351966016073572,0.5737892378262537,0.35943385815233714,-0.5465043635174563,0.4666115479892954,3
deskclosed|volume|a252|v378|N|p1.0|c21|ph13,0.34304310146542694,0.2557568761587666,0.2557568761587666,0.0349552841039793,0.024029489183312602,0.12178086260121185,0.13583299275100758,0.13999498147317468,0.1716453613583073,14.152031288870768,36.540531221212206,0.00800773881554797,7812,0.5066592023384251,-0.3019352678265536,0.028996051559456854,B,deskclosed,252,378,True,1.0,21,13,volume,4,1,-0.8081897802023097,1.2321691901503191,0.7768321163974979,0.2711593648775686,-0.8081897802023097,0.5239957406375333,3
deskclosed|volume|a252|v378|N|p1.0|c21|ph14,0.5473286689561913,0.4596419663917457,0.4596419663917457,0.06117022321178167,0.049895949599788825,0.12208518779031356,0.11316133108316029,0.11383543182158395,0.43831651359650065,14.24571046954124,53.87311108013632,0.008011248989930733,7832,0.5437057170762446,-0.23987536831684056,0.03015270974658359,B,deskclosed,252,378,True,1.0,21,14,volume,4,2,-0.28326131252704534,1.112481243903839,0.7880018898057057,0.5239355077004211,-0.28326131252704534,0.6559686987530634,3
deskclosed|volume|a252|v378|N|p1.0|c21|ph15,0.4876651689430518,0.3952550122876764,0.3952550122876764,0.05341651297510697,0.04164136425290277,0.1219730470703499,0.10183504701617374,0.10819599464613161,0.3848697393013115,14.976263399516071,46.73606005498107,0.008530926814074379,7569,0.5227873738820887,-0.24569118663596468,0.029035814963795117,B,deskclosed,252,378,True,1.0,21,15,volume,5,0,-0.47263856605625154,0.81222666832423,0.8367065488364338,0.7137257619296146,-0.47263856605625154,0.7629762151269223,3
deskclosed|volume|a252|v378|N|p1.0|c21|ph16,0.4168164137207147,0.3286489937367599,0.3286489937367599,0.044487320691470655,0.03329652518411774,0.12243271462066416,0.15134017219133067,0.15856330613657688,0.20998884291324074,14.357416611758499,42.510710634464004,0.008178219570796686,7524,0.5670570527782514,-0.32542772250589,0.0323122179574114,B,deskclosed,252,378,True,1.0,21,16,volume,5,1,-0.9433190739841516,0.9813091416706976,1.1530232998730499,0.685530754848275,-0.9433190739841516,0.8334199482594863,3
