feature,in_19col,ic_full,n_full,n_subperiods,frac_same_sign,mean_abs_ic,ic_dispersion,worst_signed_ic,recent_ic,recent_same_sign,stability_score,ic_2020-01-01,ic_2020-07-01,ic_2020-12-31,ic_2021-07-01,ic_2021-12-31,ic_2022-07-01,ic_2022-12-31,ic_2023-07-01,ic_2023-12-31,ic_2024-06-30,ic_2024-12-30
trend_sma_cross_20_100,False,0.0399,5619,11,0.545,0.088,0.111,-0.1511,-0.1511,False,0.04798,0.015,0.2168,0.0013,0.0619,-0.1208,-0.1265,-0.1082,0.0625,0.0477,-0.0559,-0.1511
mom_stoch_k_5,False,-0.0108,5712,11,0.636,0.075,0.0813,-0.0978,-0.0594,True,0.04776,-0.0783,-0.0224,-0.0968,-0.1568,0.0978,-0.0854,0.0755,-0.0713,0.0454,0.0362,-0.0594
trend_psar_af,False,-0.0256,5718,11,0.636,0.0736,0.0825,-0.1042,0.0873,False,0.04681,-0.0539,-0.0126,-0.0768,-0.0584,0.0282,-0.1298,0.1042,0.0529,-0.0702,-0.1348,0.0873
vol_mfi_7,True,0.0448,5711,11,0.636,0.0733,0.0823,-0.108,-0.0676,False,0.04664,0.0586,0.0481,0.0501,-0.0646,0.1021,-0.108,0.0824,0.0347,0.163,-0.0271,-0.0676
mom_mom_20,False,-0.0049,5698,11,0.636,0.0733,0.1101,-0.0443,-0.2519,True,0.04661,-0.0611,0.0317,0.0278,-0.0222,0.0443,-0.2715,0.03,-0.026,-0.0199,-0.0194,-0.2519
mom_stoch_d_5,False,-0.0062,5710,11,0.636,0.0725,0.0802,-0.098,-0.0559,True,0.04614,-0.089,-0.0141,-0.0717,-0.1485,0.098,-0.0971,0.0714,-0.0684,0.0678,0.0156,-0.0559
mom_rsi_21,False,0.046,5717,11,0.636,0.0718,0.1058,-0.2383,-0.2383,False,0.04568,0.0176,0.0916,0.029,0.0236,-0.0084,-0.1849,0.0673,0.0266,0.0795,-0.0229,-0.2383
stat_kurtosis_50,False,-0.004,5668,11,0.636,0.071,0.1068,-0.1633,0.0031,False,0.04519,0.0288,-0.2364,-0.0136,-0.041,-0.0041,-0.0994,-0.005,-0.0552,0.1314,0.1633,0.0031
mr_rsi_extreme_14,True,-0.0652,5718,11,0.636,0.071,0.087,-0.1375,0.0215,False,0.04515,-0.111,-0.0601,0.001,-0.0032,-0.0338,0.1375,-0.1103,-0.1791,-0.0942,0.0288,0.0215
vol_range_spike_72,True,0.0366,5647,11,0.636,0.0705,0.0716,-0.0606,0.1508,True,0.04486,-0.0509,0.1089,-0.013,0.0794,-0.0606,-0.0403,0.0848,0.0323,0.0666,0.0879,0.1508
trend_aroon_osc_50,False,0.0363,5668,11,0.455,0.0974,0.1183,-0.1764,-0.1062,False,0.04427,0.1408,0.1913,-0.0597,0.0001,-0.0315,-0.1764,-0.09,0.043,0.1233,-0.1089,-0.1062
vol_atr_7,False,-0.0313,5712,11,0.545,0.0807,0.0935,-0.1778,0.0504,False,0.04405,-0.0652,0.1778,-0.105,-0.0357,0.1231,-0.0583,-0.0521,0.0948,-0.0638,0.062,0.0504
trend_plus_di_14,False,0.0229,5705,11,0.636,0.0691,0.0932,-0.1946,-0.1641,False,0.04395,0.0324,0.0348,0.035,0.0523,0.0092,-0.1946,0.1055,-0.0296,0.0419,-0.0604,-0.1641
mr_pct_from_high_10,False,-0.0328,5709,11,0.727,0.0604,0.0577,-0.0288,-0.0231,True,0.04393,-0.1034,-0.1136,-0.0741,-0.1574,0.0028,-0.0728,-0.0213,-0.0599,0.0288,0.0071,-0.0231
trend_aroon_osc_14,False,-0.0144,5704,11,0.455,0.0955,0.1243,-0.1086,-0.2085,True,0.04341,-0.1725,0.0076,0.0253,-0.069,0.0591,-0.2847,0.1086,0.0155,0.0426,-0.057,-0.2085
