symbol,train_month,n_trials,n_candles,n_paths,rank,pbo,n_eff,frac_pos,path_q50,error
TRXUSDT,2025-01,50,1825,45,49,0.953,25,0.44622222222222224,-0.0143144817192185,
TRXUSDT,2025-02,50,1825,45,50,0.7912,26,0.5804444444444444,0.03589093857994519,
TRXUSDT,2025-03,50,1825,45,46,0.0,26,0.5186666666666667,0.007819557294781962,
TRXUSDT,2025-04,50,1801,45,50,0.0084,24,0.5693333333333334,0.027291604024310426,
TRXUSDT,2025-05,50,1711,45,50,0.0,21,0.6217777777777778,0.04699843834444271,
TRXUSDT,2025-06,50,1618,45,50,0.0002,24,0.7115555555555556,0.063240469663884,
TRXUSDT,2025-07,50,1528,45,50,0.0,24,0.7008888888888889,0.06933293265900656,
TRXUSDT,2025-08,50,1435,45,45,0.0,22,0.45955555555555555,-0.01350401436564255,
TRXUSDT,2025-09,50,1342,45,50,0.0524,26,0.4488888888888889,-0.022409264713230157,
TRXUSDT,2025-10,50,1252,45,45,0.7428,25,0.34444444444444444,-0.05280771709413762,
TRXUSDT,2025-11,50,1159,45,50,0.057,27,0.40355555555555556,-0.048718113443545444,
TRXUSDT,2025-12,50,1069,45,50,0.2252,20,0.3844444444444444,-0.07184051545676015,
TRXUSDT,2026-01,50,976,45,50,0.0,24,0.45155555555555554,-0.019480141433562338,
TRXUSDT,2026-02,50,883,45,50,0.0016,25,0.348,-0.06932068848629513,
TRXUSDT,2026-03,50,799,45,50,0.0008,23,0.4017777777777778,-0.04814368252224554,
TRXUSDT,2026-04,50,706,45,49,0.0,17,0.30666666666666664,-0.10403930134213377,
TRXUSDT,2026-05,50,616,45,50,0.0,12,0.18266666666666667,-0.17413123551746268,
