symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,slippage_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time,confidence
BTCUSDT,-1,23129.600000,23810.005913,0.3300,1677628799999,1677657599999,stop_loss,-2.9417,0.1000,0.0400,-3.0817,-1.0170,23810.005913,21768.788175,1678233599999,0.650000
BTCUSDT,-1,23381.900000,21951.636268,0.3300,1677743999999,1677830399999,take_profit,6.1170,0.1000,0.0400,5.9770,1.9724,24097.031866,21951.636268,1678348799999,0.600000
BTCUSDT,1,22346.600000,21636.424352,0.3300,1677916799999,1678319999999,stop_loss,-3.1780,0.1000,0.0400,-3.3180,-1.0949,21636.424352,23766.951295,1678521599999,0.650000
BTCUSDT,1,20447.300000,22036.196677,0.3300,1678579199999,1678665599999,take_profit,7.7707,0.1000,0.0400,7.6307,2.5181,19652.851661,22036.196677,1679183999999,0.650000
BTCUSDT,-1,24880.600000,26231.573225,0.3300,1678982399999,1679068799999,stop_loss,-5.4298,0.1000,0.0400,-5.5698,-1.8380,26231.573225,22178.653550,1679587199999,0.850000
BTCUSDT,-1,27490.900000,28774.833151,0.3300,1679385599999,1679529599999,stop_loss,-4.6704,0.1000,0.0400,-4.8104,-1.5874,28774.833151,24923.033699,1679990399999,0.850000
BTCUSDT,-1,28284.100000,28015.000000,0.3300,1679615999999,1680220800000,timeout,0.9514,0.1000,0.0400,0.8114,0.2678,29672.251687,25507.796626,1680220799999,0.850000
BTCUSDT,-1,28454.900000,27890.700000,0.3300,1680307199999,1680912000000,timeout,1.9828,0.1000,0.0400,1.8428,0.6081,29493.340531,26378.018937,1680911999999,0.900000
BTCUSDT,-1,27924.900000,28508.778832,0.3300,1680998399999,1681084799999,stop_loss,-2.0909,0.1000,0.0400,-2.2309,-0.7362,28508.778832,26757.142337,1681603199999,0.900000
BTCUSDT,-1,30362.700000,28853.752473,0.3300,1681430399999,1681919999999,take_profit,4.9697,0.1000,0.0400,4.8297,1.5938,31117.173763,28853.752473,1682035199999,1.000000
BTCUSDT,-1,28492.300000,29352.779704,0.3300,1682006399999,1682524799999,stop_loss,-3.0200,0.1000,0.0400,-3.1600,-1.0428,29352.779704,26771.340593,1682611199999,0.950000
BTCUSDT,-1,29136.700000,28850.000000,0.3300,1682611199999,1683216000000,timeout,0.9840,0.1000,0.0400,0.8440,0.2785,30393.222680,26623.654640,1683215999999,0.650000
BTCUSDT,-1,29347.400000,27498.872703,0.3300,1683302399999,1683590399999,take_profit,6.2988,0.1000,0.0400,6.1588,2.0324,30271.663649,27498.872703,1683907199999,0.150000
BTCUSDT,1,27610.200000,26787.205377,0.3300,1683676799999,1683763199999,stop_loss,-2.9808,0.1000,0.0400,-3.1208,-1.0299,26787.205377,29256.189247,1684281599999,0.150000
BTCUSDT,1,26956.400000,26045.416149,0.3300,1683849599999,1683935999999,stop_loss,-3.3795,0.1000,0.0400,-3.5195,-1.1614,26045.416149,28778.367703,1684454399999,0.150000
BTCUSDT,1,26762.700000,27089.600000,0.3300,1684022399999,1684627200000,timeout,1.2215,0.1000,0.0400,1.0815,0.3569,25925.352758,28437.394484,1684627199999,0.150000
BTCUSDT,-1,26830.700000,27369.124984,0.3300,1684742399999,1684828799999,stop_loss,-2.0067,0.1000,0.0400,-2.1467,-0.7084,27369.124984,25753.850031,1685347199999,0.050000
BTCUSDT,1,26664.200000,26097.669463,0.3300,1684915199999,1684943999999,stop_loss,-2.1247,0.1000,0.0400,-2.2647,-0.7473,26097.669463,27797.261075,1685519999999,0.100000
