symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time,confidence,component_id
LINKUSDT,1,6.482000,6.258117,0.3300,1684569599999,1684943999999,stop_loss,-0.69078,0.1000,-0.71078,-0.23456,6.258117,6.929767,1685174399999,0.961033,C-LINK
LTCUSDT,-1,91.520000,84.530000,1.0000,1684425599999,1685030400000,timeout,1.52754,0.1000,1.50754,1.50754,96.086195,82.387610,1685030399999,0.821091,C-LTC
BTCUSDT,-1,26870.100000,26689.800000,0.3300,1684540799999,1685145600000,timeout,0.1342,0.1000,0.1142,0.03768,27554.802593,25500.694815,1685145599999,0.804388,C-BTC
ETHUSDT,-1,1815.660000,1858.738065,0.3300,1685087999999,1685260799999,stop_loss,-0.47452,0.1000,-0.49452,-0.1632,1858.738065,1729.503870,1685692799999,0.811404,C-ETH
BTCUSDT,-1,26841.600000,27367.045196,0.3300,1685231999999,1685289599999,stop_loss,-0.39152,0.1000,-0.41152,-0.1358,27367.045196,25790.709609,1685836799999,0.795048,C-BTC
DOTUSDT,-1,5.245000,5.414588,0.3300,1685001599999,1685318399999,stop_loss,-0.64666,0.1000,-0.66666,-0.22,5.414588,4.905823,1685606399999,0.755073,C-DOT
LINKUSDT,1,6.244000,6.676461,0.3300,1685030399999,1685404799999,take_profit,1.3852,0.1000,1.3652,0.45052,6.027770,6.676461,1685635199999,0.877120,C-LINK
LINKUSDT,1,6.612000,6.412295,0.3300,1685491199999,1685548799999,stop_loss,-0.60406,0.1000,-0.62406,-0.20594,6.412295,7.011410,1686095999999,0.970348,C-LINK
DOTUSDT,-1,5.457000,5.157136,0.3300,1685404799999,1685692799999,take_profit,1.099,0.1000,1.079,0.35608,5.606932,5.157136,1686009599999,0.783276,C-DOT
BTCUSDT,-1,27722.000000,26471.740640,0.3300,1685404799999,1685980799999,take_profit,0.902,0.1000,0.882,0.29106,28347.129680,26471.740640,1686009599999,0.901245,C-BTC
LINKUSDT,1,6.342000,6.135268,0.3300,1685663999999,1685980799999,stop_loss,-0.65194,0.1000,-0.67194,-0.22174,6.135268,6.755464,1686268799999,0.810518,C-LINK
ETHUSDT,-1,1899.810000,1812.396982,0.3300,1685491199999,1686009599999,take_profit,0.92022,0.1000,0.90022,0.29708,1943.516509,1812.396982,1686095999999,0.864388,C-ETH
LTCUSDT,-1,94.140000,85.640413,1.0000,1685663999999,1686009599999,take_profit,1.80574,0.1000,1.78574,1.78574,98.389793,85.640413,1686268799999,0.875971,C-LTC
ETHUSDT,-1,1831.310000,1731.830920,0.3300,1686182399999,1686383999999,take_profit,1.08642,0.1000,1.06642,0.35192,1881.049540,1731.830920,1686787199999,0.684315,C-ETH
LINKUSDT,-1,6.259000,5.775132,0.3300,1686095999999,1686383999999,take_profit,1.54616,0.1000,1.52616,0.50362,6.500934,5.775132,1686700799999,0.760892,C-LINK
LTCUSDT,-1,88.420000,79.704370,1.0000,1686268799999,1686383999999,take_profit,1.97142,0.1000,1.95142,1.95142,92.777815,79.704370,1686873599999,0.802530,C-LTC
